Line Group.1 Group.2 x weekmax weekmin e abnm
410 39 2007 1260000 1280000 1230000 NA -0.350951795077542
411 40 2007 1301428.57142857 1400000 1220000 NA -0.546217940507171
412 41 2007 1567142.85714286 1690000 1440000 NA -0.107071475885309
413 42 2007 1847142.85714286 1960000 1730000 NA 0.261163091708953
414 43 2007 2062857.14285714 2120000 1990000 NA 0.345888654016311
415 44 2007 2158571.42857143 2180000 2130000 NA 0.176737888835898
416 45 2007 2167142.85714286 2180000 2150000 NA 0.0621005463894471
417 46 2007 2167142.85714286 2170000 2160000 NA -0.133556371152619
418 47 2007 2161428.57142857 2170000 2160000 NA -0.416341113616185
419 48 2007 2177142.85714286 2190000 2160000 NA -0.822051043666735
420 49 2007 2208571.42857143 2230000 2190000 NA -1.25594163708255
421 50 2007 2278571.42857143 2310000 2240000 NA -1.52287599926854
422 51 2007 2401428.57142857 2490000 2330000 NA -1.76092311361437
423 52 2007 2638571.42857143 2750000 2520000 NA -1.42057653879469
424 53 2007 2790000 2810000 2770000 NA -0.816851248063237
425 1 2008 2920000 2980000 2840000 NA -0.560255802016481
426 2 2008 3121428.57142857 3270000 3e+06 NA -0.633279859915144
427 3 2008 3440000 3550000 3320000 NA -0.24668613975307
428 4 2008 3612857.14285714 3640000 3580000 NA -0.0701860279052567
429 5 2008 3700000 3860000 3590000 NA -0.182286166475339
430 6 2008 4015714.28571429 4120000 3900000 NA 0.209591012999284
431 7 2008 4111428.57142857 4160000 4040000 NA 0.201421306623254
432 8 2008 4050000 4110000 4020000 NA -0.0946159211028515
433 9 2008 4287142.85714286 4400000 4160000 NA 0.217849965651292
434 10 2008 4372857.14285714 4390000 4330000 NA 0.33765302031071
435 11 2008 4114285.71428571 4280000 4030000 NA -0.154336482970007
436 12 2008 4084285.71428571 4130000 4050000 NA -0.213147380103043
437 13 2008 4235714.28571429 4290000 4160000 NA 0.173407348112132
438 14 2008 4120000 4210000 4040000 NA 0.354743531103351
439 15 2008 3831428.57142857 4e+06 3670000 NA 0.0363033583129797
440 16 2008 3490000 3620000 3360000 NA -0.527089559711366
441 17 2008 3224285.71428571 3320000 3120000 NA -0.913003343316607
442 18 2008 3047142.85714286 3090000 3010000 NA -0.967571426914415
443 19 2008 3011428.57142857 3030000 3e+06 NA -0.586734138553027
444 20 2008 3087142.85714286 3140000 3040000 NA -0.0692879223624885
445 21 2008 3192857.14285714 3230000 3150000 NA 0.409523688304553
446 22 2008 3268571.42857143 3290000 3240000 NA 0.712986625638655
447 23 2008 3148571.42857143 3270000 3030000 NA 0.796765860822032
448 24 2008 2965714.28571429 3040000 2860000 NA 0.989623805755578
449 25 2008 2715714.28571429 2820000 2610000 NA 0.901051769494688
450 26 2008 2485714.28571429 2570000 2410000 NA 0.709613517224051
451 27 2008 2294285.71428571 2370000 2230000 NA 0.54887799218913
452 28 2008 2108571.42857143 2210000 2010000 NA 0.443157158801426
453 29 2008 1920000 1980000 1850000 NA 0.143060505064096
454 30 2008 1752857.14285714 1820000 1700000 NA -0.284144465223825
455 31 2008 1651428.57142857 1690000 1620000 NA -0.34064845465029
456 32 2008 1575714.28571429 1610000 1560000 NA -0.156364467109765
457 33 2008 1504285.71428571 1550000 1460000 NA -0.110727060751525
458 34 2008 1414285.71428571 1440000 1390000 NA -0.335692027886527
459 35 2008 1387142.85714286 1390000 1380000 NA -0.173452541667327
460 36 2008 1400000 1410000 1390000 NA 0.181064654992979
461 37 2008 1451428.57142857 1480000 1420000 NA 0.713988629444545
462 38 2008 1534285.71428571 1580000 1480000 NA 1.34411737578336
463 39 2008 1612857.14285714 1650000 1590000 NA 1.76028973433592
464 40 2008 1692857.14285714 1720000 1660000 NA 1.7794522303177
465 41 2008 1758571.42857143 1780000 1730000 NA 0.922079672075588
466 42 2008 1817142.85714286 1840000 1790000 NA 0.13533957788966
467 43 2008 1871428.57142857 1890000 1850000 NA -0.295229615999276
468 44 2008 1920000 1950000 1900000 NA -0.527979620160051
469 45 2008 2028571.42857143 2090000 1970000 NA -0.416421888172224
470 46 2008 2161428.57142857 2210000 2110000 NA -0.155815766344723
471 47 2008 2291428.57142857 2340000 2230000 NA 0.114202298874951
472 48 2008 2388571.42857143 2420000 2360000 NA 0.241332208706276
473 49 2008 2454285.71428571 2500000 2420000 NA 0.0631579846234032
474 50 2008 2591428.57142857 2660000 2520000 NA 0.173613332053056
475 51 2008 2762857.14285714 2820000 2690000 NA 0.445231943669464
476 52 2008 2877142.85714286 2920000 2840000 NA 0.223539561343152
477 53 2008 2953333.33333333 2980000 2930000 NA -0.0224121474950218
478 1 2009 3071666.66666667 3160000 3e+06 NA -0.0210671981956857
